Expected
Possible
Probable
Feasible
Plausible
Presumed
Hypothetical
Hypothetically
Likely
Unlikely
Potential
Uncertain
Anticipated
Foreseen
Impending
Upcoming
Brewing
Looming
Forthcoming
seem
