proximity,up,down
Across from,Above,Behind
Adjacent,Anterior,Below
Against,Atop,Beneath
Ahead of,Beyond,Beyond
Alongside,High,Bottom
Among,On top of,Deep
At,Onto,Down
Approaching,Over,Down from
Beside,Overhead,Downward
Between,Upward,Low
Close,Upon,Posterior
Close by,,Under
Contiguous,,Underneath
Distant from,,
In proximity,,
Inside,,
Near,,
Nearby,,
Neighboring,,
Next to,,
Receding from,,
Remote,,
Retreating from,,
Within,,
