Entities
External low pressure water flow
Internal high velocity water flow
External high pressure water flow
Pump
Pump Bearings
Pump Shaft
Impeller
Diffuser
Housing
Casing
Centerline support
Seal
Motor
Pump coupling
Rotor
Stator
Power Supply
Cooling System
Lubrication pump
Cooling fan
External low  pressure water flow
